,Voltage,Raw
878,0.27899999999999997,85e355
879,0.28,856043
880,0.281,851eba
881,0.282,85a1cc
882,0.28300000000000003,85e355
883,0.284,856043
884,0.285,85e355
885,0.28600000000000003,85e355
886,0.287,85a1cc
887,0.28800000000000003,85a1cc
888,0.289,866668
889,0.29,8624df
890,0.29100000000000004,8624df
891,0.292,8624df
892,0.293,86a7f1
893,0.294,85e355
894,0.295,8624df
895,0.29600000000000004,86a7f1
896,0.297,8624df
897,0.298,866668
898,0.299,872b03
899,0.3,9b645b
900,0.299,db22d2
901,0.298,07f62b
902,0.297,23d709
903,0.29600000000000004,34fdf3
904,0.295,410624
905,0.294,4978d4
906,0.293,4e978c
907,0.292,526e96
908,0.29100000000000004,5645a1
909,0.29,5851ea
910,0.289,5a1cab
911,0.28800000000000003,5c28f5
912,0.287,5df3b5
913,0.28600000000000003,5e353e
914,0.285,5fbe76
915,0.284,610624
916,0.28300000000000003,618936
917,0.282,624dd2
918,0.281,63d709
919,0.28,645a1b
920,0.27899999999999997,64dd2e
921,0.278,65a1c9
922,0.27699999999999997,666665
923,0.276,666665
924,0.275,672b01
925,0.27399999999999997,683126
926,0.273,683126
927,0.272,6872af
928,0.271,69fbe6
929,0.27,69fbe6
930,0.26899999999999996,6a3d6f
931,0.268,6b4394
932,0.267,6bc6a7
933,0.266,6b851d
934,0.265,6c0830
935,0.264,6ccccb
936,0.263,6d0e55
937,0.262,6d0e55
938,0.261,6e5603
939,0.26,6e5603
940,0.259,6e5603
941,0.258,6f1a9e
942,0.257,6f5c28
943,0.256,6f5c28
944,0.255,7020c3
945,0.254,70a3d6
946,0.253,70a3d6
947,0.252,70a3d6
948,0.251,71a9fb
949,0.25,71a9fb
950,0.249,71a9fb
951,0.248,722d0d
952,0.247,72f1a9
953,0.24600000000000002,722d0d
954,0.245,72f1a9
955,0.244,73b644
956,0.243,7374bb
957,0.242,73b644
958,0.24100000000000002,747ae0
959,0.24,747ae0
960,0.239,747ae0
961,0.23800000000000002,74fdf2
962,0.237,758105
963,0.23600000000000002,74fdf2
964,0.235,758105
965,0.23399999999999999,7645a0
966,0.233,760417
967,0.23199999999999998,760417
968,0.231,770a3c
969,0.23,76c8b3
970,0.22899999999999998,770a3c
971,0.228,778d4e
972,0.22699999999999998,77ced8
973,0.226,778d4e
974,0.225,77ced8
975,0.22399999999999998,789373
976,0.223,789373
977,0.222,7851ea
978,0.221,79580f
979,0.22,79580f
980,0.21899999999999997,791686
981,0.218,79db21
982,0.217,7a1cab
983,0.21600000000000003,799998
984,0.215,7a5e34
985,0.214,7a9fbd
986,0.213,7a9fbd
987,0.212,7a9fbd
988,0.21100000000000002,7b6459
989,0.21,7b6459
990,0.209,7b6459
991,0.20800000000000002,7be76b
992,0.207,7c6a7e
993,0.20600000000000002,7ba5e2
994,0.205,7c6a7e
995,0.204,7d2f19
996,0.203,7ced90
997,0.20199999999999999,7ced90
998,0.201,7db22c
